,avg_within_event_corr,avg_between_event_corr,avg_difference,M,test_subject,dataset,K,embed_method,ROI,boundary_TRs,model_LogLikelihood
0,0.12859692519648058,-0.00809244003294437,0.13668936522942496,2,1,sherlock,53,TPHATE,early_visual,"[0, 231, 256, 277, 297, 336, 371, 404, 426, 441, 460, 482, 550, 576, 603, 604, 615, 657, 745, 756, 892, 904, 939, 974, 1009, 1044, 1079, 1209, 1224, 1264, 1318, 1328, 1356, 1374, 1401, 1429, 1456, 1469, 1483, 1496, 1518, 1538, 1557, 1576, 1597, 1620, 1646, 1672, 1699, 1727, 1754, 1782, 1878, 1903, 1928, 1940, 1951, 1963, 1976]",-2250.4072696579583
1,0.46441064179009817,-0.01441134922424486,0.47882199101434303,3,1,sherlock,53,TPHATE,early_visual,"[0, 34, 50, 64, 105, 229, 262, 275, 297, 323, 337, 394, 430, 464, 502, 556, 634, 674, 742, 759, 799, 828, 874, 906, 962, 980, 1013, 1046, 1079, 1101, 1173, 1187, 1209, 1238, 1256, 1279, 1287, 1339, 1375, 1400, 1458, 1478, 1524, 1582, 1596, 1630, 1665, 1776, 1795, 1807, 1844, 1878, 1927, 1976]",-1761.3895410880657
2,0.45445233985778766,-0.013511320509136282,0.46796366036692394,4,1,sherlock,53,TPHATE,early_visual,"[0, 34, 50, 64, 104, 139, 229, 267, 284, 306, 336, 429, 465, 500, 527, 554, 635, 674, 739, 780, 829, 849, 867, 879, 905, 968, 1014, 1047, 1079, 1101, 1122, 1134, 1171, 1188, 1207, 1239, 1256, 1290, 1338, 1375, 1457, 1477, 1536, 1598, 1630, 1651, 1663, 1738, 1772, 1797, 1853, 1919, 1953, 1976]",-1932.0387392985053
3,0.474836707042344,-0.01284543336612691,0.4876821404084709,5,1,sherlock,53,TPHATE,early_visual,"[0, 34, 61, 102, 140, 168, 229, 268, 285, 309, 334, 430, 462, 501, 529, 570, 598, 634, 674, 728, 780, 850, 875, 904, 929, 967, 990, 1013, 1079, 1100, 1132, 1143, 1189, 1207, 1251, 1281, 1293, 1339, 1376, 1467, 1516, 1540, 1571, 1612, 1631, 1665, 1738, 1772, 1798, 1845, 1880, 1905, 1952, 1976]",-1961.6043320159356
4,0.4919804329246113,-0.012137675369190387,0.5041181082938017,6,1,sherlock,53,TPHATE,early_visual,"[0, 33, 59, 101, 140, 168, 230, 282, 310, 336, 383, 431, 464, 501, 526, 549, 600, 634, 671, 731, 779, 800, 851, 877, 905, 934, 971, 1012, 1050, 1079, 1100, 1139, 1191, 1229, 1274, 1292, 1340, 1373, 1433, 1475, 1525, 1543, 1567, 1606, 1632, 1666, 1738, 1773, 1798, 1821, 1853, 1918, 1951, 1976]",-2017.3660864325757
5,0.4876062493561743,-0.011899522780835288,0.4995057721370096,7,1,sherlock,53,TPHATE,early_visual,"[0, 34, 59, 100, 141, 169, 231, 282, 311, 337, 386, 434, 465, 498, 531, 551, 601, 634, 673, 730, 780, 812, 852, 877, 903, 934, 969, 1012, 1049, 1078, 1099, 1139, 1163, 1221, 1255, 1290, 1338, 1383, 1426, 1474, 1520, 1543, 1565, 1605, 1632, 1668, 1737, 1771, 1798, 1855, 1887, 1919, 1954, 1976]",-2074.047323326936
6,0.47075708732763366,-0.011725617884381914,0.4824827052120156,8,1,sherlock,53,TPHATE,early_visual,"[0, 36, 62, 106, 141, 170, 232, 282, 311, 340, 385, 407, 466, 497, 531, 554, 601, 635, 671, 731, 762, 783, 851, 873, 902, 934, 970, 1011, 1049, 1079, 1098, 1138, 1191, 1222, 1245, 1289, 1334, 1378, 1423, 1475, 1507, 1541, 1562, 1604, 1633, 1663, 1707, 1736, 1798, 1826, 1855, 1910, 1954, 1976]",-2143.6013824589118
7,0.47125397288699705,-0.011805982056228789,0.48305995494322584,9,1,sherlock,53,TPHATE,early_visual,"[0, 37, 63, 107, 140, 169, 231, 283, 310, 340, 397, 435, 464, 498, 531, 553, 601, 633, 671, 731, 762, 782, 815, 856, 879, 906, 962, 994, 1024, 1052, 1082, 1137, 1164, 1218, 1270, 1291, 1338, 1379, 1426, 1449, 1478, 1525, 1547, 1603, 1633, 1664, 1734, 1775, 1794, 1826, 1856, 1910, 1953, 1976]",-2170.2629188164683
8,0.4652008917126937,-0.011715697738408987,0.47691658945110266,10,1,sherlock,53,TPHATE,early_visual,"[0, 37, 59, 103, 139, 168, 231, 282, 309, 340, 396, 435, 464, 497, 532, 555, 597, 632, 672, 732, 774, 800, 832, 856, 877, 929, 964, 993, 1023, 1052, 1083, 1137, 1195, 1221, 1244, 1291, 1338, 1378, 1436, 1477, 1524, 1543, 1564, 1604, 1632, 1703, 1735, 1776, 1795, 1826, 1856, 1909, 1953, 1976]",-2186.8255959932458
9,0.20008443494551306,-0.006869038004058762,0.20695347294957184,2,2,sherlock,51,TPHATE,early_visual,"[0, 30, 63, 96, 127, 158, 265, 357, 365, 372, 379, 386, 392, 399, 446, 493, 545, 593, 639, 685, 730, 775, 817, 876, 927, 979, 1019, 1058, 1098, 1138, 1178, 1218, 1258, 1299, 1337, 1369, 1402, 1434, 1467, 1499, 1532, 1564, 1597, 1629, 1662, 1694, 1741, 1789, 1836, 1884, 1931, 1976]",-2361.1680750859614
10,0.322653370090594,-0.010324027593221647,0.3329773976838157,3,2,sherlock,51,TPHATE,early_visual,"[0, 31, 58, 97, 158, 212, 237, 305, 357, 380, 399, 467, 476, 498, 534, 572, 608, 664, 709, 745, 814, 834, 868, 887, 933, 957, 979, 1031, 1070, 1164, 1220, 1254, 1271, 1327, 1341, 1362, 1384, 1421, 1504, 1521, 1538, 1559, 1579, 1632, 1653, 1697, 1799, 1829, 1877, 1898, 1932, 1976]",-2149.088565348766
