,subject,ROI,dataset,CV_M,CV_K,embed_method
1092,19,early_visual,forrest,3,100,PHATE
1093,20,early_visual,forrest,3,103,PHATE
16,1,early_visual,forrest,5,102,TPHATE
17,2,early_visual,forrest,5,100,TPHATE
18,3,early_visual,forrest,4,97,TPHATE
19,4,early_visual,forrest,4,109,TPHATE
20,6,early_visual,forrest,5,105,TPHATE
21,9,early_visual,forrest,4,95,TPHATE
22,10,early_visual,forrest,5,106,TPHATE
23,14,early_visual,forrest,5,100,TPHATE
24,15,early_visual,forrest,4,100,TPHATE
25,16,early_visual,forrest,5,101,TPHATE
26,17,early_visual,forrest,3,101,TPHATE
27,18,early_visual,forrest,4,101,TPHATE
28,19,early_visual,forrest,4,100,TPHATE
29,20,early_visual,forrest,5,103,TPHATE
44,1,early_visual,sherlock,4,47,PCA
45,2,early_visual,sherlock,4,45,PCA
46,3,early_visual,sherlock,4,47,PCA
47,4,early_visual,sherlock,4,45,PCA
48,5,early_visual,sherlock,4,44,PCA
49,6,early_visual,sherlock,4,49,PCA
50,7,early_visual,sherlock,4,46,PCA
51,8,early_visual,sherlock,4,47,PCA
52,9,early_visual,sherlock,4,48,PCA
53,10,early_visual,sherlock,4,45,PCA
54,11,early_visual,sherlock,4,47,PCA
55,12,early_visual,sherlock,4,46,PCA
56,13,early_visual,sherlock,4,43,PCA
57,14,early_visual,sherlock,4,50,PCA
58,15,early_visual,sherlock,4,45,PCA
59,16,early_visual,sherlock,4,43,PCA
642,1,early_visual,sherlock,4,47,UMAP
643,2,early_visual,sherlock,4,45,UMAP
644,3,early_visual,sherlock,4,47,UMAP
645,4,early_visual,sherlock,4,45,UMAP
646,5,early_visual,sherlock,4,44,UMAP
647,6,early_visual,sherlock,4,49,UMAP
648,7,early_visual,sherlock,4,46,UMAP
649,8,early_visual,sherlock,4,47,UMAP
650,9,early_visual,sherlock,4,48,UMAP
651,10,early_visual,sherlock,4,45,UMAP
652,11,early_visual,sherlock,4,47,UMAP
653,12,early_visual,sherlock,4,46,UMAP
654,13,early_visual,sherlock,4,43,UMAP
655,14,early_visual,sherlock,4,50,UMAP
656,15,early_visual,sherlock,4,45,UMAP
657,16,early_visual,sherlock,4,43,UMAP
362,1,early_visual,sherlock,5,47,PHATE
363,2,early_visual,sherlock,5,45,PHATE
364,3,early_visual,sherlock,5,47,PHATE
365,4,early_visual,sherlock,5,45,PHATE
366,5,early_visual,sherlock,5,44,PHATE
367,6,early_visual,sherlock,5,49,PHATE
368,7,early_visual,sherlock,5,46,PHATE
369,8,early_visual,sherlock,5,47,PHATE
370,9,early_visual,sherlock,4,48,PHATE
371,10,early_visual,sherlock,4,45,PHATE
372,11,early_visual,sherlock,5,47,PHATE
373,12,early_visual,sherlock,4,46,PHATE
374,13,early_visual,sherlock,5,43,PHATE
375,14,early_visual,sherlock,5,50,PHATE
376,15,early_visual,sherlock,5,45,PHATE
377,16,early_visual,sherlock,5,43,PHATE
434,1,early_visual,sherlock,4,47,TPHATE
435,2,early_visual,sherlock,5,45,TPHATE
436,3,early_visual,sherlock,5,47,TPHATE
437,4,early_visual,sherlock,4,45,TPHATE
438,5,early_visual,sherlock,4,44,TPHATE
439,6,early_visual,sherlock,6,49,TPHATE
440,7,early_visual,sherlock,6,46,TPHATE
441,8,early_visual,sherlock,6,47,TPHATE
442,9,early_visual,sherlock,3,48,TPHATE
443,10,early_visual,sherlock,3,45,TPHATE
444,11,early_visual,sherlock,4,47,TPHATE
445,12,early_visual,sherlock,5,46,TPHATE
446,13,early_visual,sherlock,6,43,TPHATE
447,14,early_visual,sherlock,6,50,TPHATE
448,15,early_visual,sherlock,5,45,TPHATE
449,16,early_visual,sherlock,5,43,TPHATE
60,1,aud_early,forrest,3,70,PCA
61,2,aud_early,forrest,3,71,PCA
62,3,aud_early,forrest,3,76,PCA
63,4,aud_early,forrest,3,75,PCA
64,6,aud_early,forrest,3,73,PCA
65,9,aud_early,forrest,3,72,PCA
66,10,aud_early,forrest,3,76,PCA
67,14,aud_early,forrest,3,76,PCA
68,15,aud_early,forrest,3,70,PCA
69,16,aud_early,forrest,3,72,PCA
70,17,aud_early,forrest,3,73,PCA
71,18,aud_early,forrest,3,77,PCA
72,19,aud_early,forrest,3,74,PCA
73,20,aud_early,forrest,3,73,PCA
392,1,aud_early,forrest,6,70,UMAP
393,2,aud_early,forrest,6,71,UMAP
394,3,aud_early,forrest,6,76,UMAP
395,4,aud_early,forrest,5,75,UMAP
396,6,aud_early,forrest,5,73,UMAP
397,9,aud_early,forrest,5,72,UMAP
398,10,aud_early,forrest,5,76,UMAP
399,14,aud_early,forrest,5,76,UMAP
400,15,aud_early,forrest,5,70,UMAP
401,16,aud_early,forrest,6,72,UMAP
402,17,aud_early,forrest,5,73,UMAP
403,18,aud_early,forrest,5,77,UMAP
404,19,aud_early,forrest,6,74,UMAP
405,20,aud_early,forrest,5,73,UMAP
482,1,aud_early,forrest,3,70,PHATE
483,2,aud_early,forrest,3,71,PHATE
484,3,aud_early,forrest,3,76,PHATE
485,4,aud_early,forrest,3,75,PHATE
486,6,aud_early,forrest,2,73,PHATE
487,9,aud_early,forrest,2,72,PHATE
488,10,aud_early,forrest,2,76,PHATE
489,14,aud_early,forrest,2,76,PHATE
490,15,aud_early,forrest,2,70,PHATE
491,16,aud_early,forrest,2,72,PHATE
492,17,aud_early,forrest,2,73,PHATE
493,18,aud_early,forrest,3,77,PHATE
494,19,aud_early,forrest,2,74,PHATE
495,20,aud_early,forrest,2,73,PHATE
916,1,aud_early,forrest,7,70,TPHATE
917,2,aud_early,forrest,4,71,TPHATE
918,3,aud_early,forrest,3,76,TPHATE
919,4,aud_early,forrest,6,75,TPHATE
920,6,aud_early,forrest,5,73,TPHATE
921,9,aud_early,forrest,4,72,TPHATE
922,10,aud_early,forrest,3,76,TPHATE
923,14,aud_early,forrest,5,76,TPHATE
924,15,aud_early,forrest,6,70,TPHATE
925,16,aud_early,forrest,3,72,TPHATE
926,17,aud_early,forrest,3,73,TPHATE
927,18,aud_early,forrest,5,77,TPHATE
928,19,aud_early,forrest,7,74,TPHATE
929,20,aud_early,forrest,4,73,TPHATE
1050,1,aud_early,sherlock,3,18,PCA
1051,2,aud_early,sherlock,3,18,PCA
1052,3,aud_early,sherlock,3,18,PCA
1053,4,aud_early,sherlock,3,18,PCA
1054,5,aud_early,sherlock,3,18,PCA
1055,6,aud_early,sherlock,3,18,PCA
1056,7,aud_early,sherlock,3,18,PCA
1057,8,aud_early,sherlock,3,17,PCA
1058,9,aud_early,sherlock,4,19,PCA
1059,10,aud_early,sherlock,3,20,PCA
1060,11,aud_early,sherlock,4,19,PCA
1061,12,aud_early,sherlock,3,17,PCA
1062,13,aud_early,sherlock,3,17,PCA
1063,14,aud_early,sherlock,3,18,PCA
1064,15,aud_early,sherlock,3,18,PCA
1065,16,aud_early,sherlock,3,17,PCA
808,1,aud_early,sherlock,4,18,UMAP
809,2,aud_early,sherlock,3,18,UMAP
810,3,aud_early,sherlock,3,18,UMAP
811,4,aud_early,sherlock,4,18,UMAP
812,5,aud_early,sherlock,3,18,UMAP
813,6,aud_early,sherlock,3,18,UMAP
814,7,aud_early,sherlock,3,18,UMAP
815,8,aud_early,sherlock,4,17,UMAP
816,9,aud_early,sherlock,3,19,UMAP
817,10,aud_early,sherlock,3,20,UMAP
818,11,aud_early,sherlock,3,19,UMAP
819,12,aud_early,sherlock,3,17,UMAP
820,13,aud_early,sherlock,3,17,UMAP
821,14,aud_early,sherlock,3,18,UMAP
822,15,aud_early,sherlock,3,18,UMAP
823,16,aud_early,sherlock,3,17,UMAP
1168,1,aud_early,sherlock,3,18,PHATE
1169,2,aud_early,sherlock,3,18,PHATE
1170,3,aud_early,sherlock,3,18,PHATE
1171,4,aud_early,sherlock,3,18,PHATE
1172,5,aud_early,sherlock,3,18,PHATE
1173,6,aud_early,sherlock,3,18,PHATE
1174,7,aud_early,sherlock,3,18,PHATE
1175,8,aud_early,sherlock,3,17,PHATE
1176,9,aud_early,sherlock,3,19,PHATE
1177,10,aud_early,sherlock,6,20,PHATE
1178,11,aud_early,sherlock,3,19,PHATE
1179,12,aud_early,sherlock,3,17,PHATE
1180,13,aud_early,sherlock,3,17,PHATE
1181,14,aud_early,sherlock,3,18,PHATE
1182,15,aud_early,sherlock,3,18,PHATE
1183,16,aud_early,sherlock,3,17,PHATE
1124,1,aud_early,sherlock,3,18,TPHATE
1125,2,aud_early,sherlock,3,18,TPHATE
1126,3,aud_early,sherlock,6,18,TPHATE
1127,4,aud_early,sherlock,6,18,TPHATE
1128,5,aud_early,sherlock,3,18,TPHATE
1129,6,aud_early,sherlock,3,18,TPHATE
1130,7,aud_early,sherlock,6,18,TPHATE
1131,8,aud_early,sherlock,3,17,TPHATE
1132,9,aud_early,sherlock,3,19,TPHATE
1133,10,aud_early,sherlock,3,20,TPHATE
1134,11,aud_early,sherlock,3,19,TPHATE
1135,12,aud_early,sherlock,3,17,TPHATE
1136,13,aud_early,sherlock,3,17,TPHATE
1137,14,aud_early,sherlock,3,18,TPHATE
1138,15,aud_early,sherlock,3,18,TPHATE
1139,16,aud_early,sherlock,3,17,TPHATE
