,subject,ROI,dataset,avg_difference,embed_method,model_LogLikelihood,AIC
8,20,early_visual,forrest,0.03234787601181256,TPHATE,-2401.0526780947675,25200.10535618953
9,20,early_visual,forrest,0.15480301450810782,TPHATE,-5050.86569354719,30905.73138709438
10,20,early_visual,forrest,0.14686160444889496,TPHATE,-5012.497823735047,30828.9956474701
11,20,early_visual,forrest,0.08041852138879217,TPHATE,-2844.2320887020674,26492.46417740413
12,20,early_visual,forrest,0.14861029469656814,TPHATE,-5106.822527817373,30611.645055634744
13,20,early_visual,forrest,0.14262145041407145,TPHATE,-5081.257380790889,31790.514761581777
0,16,pmc_nn,sherlock,0.3889929709060588,TPHATE,-2269.486475177431,5886.972950354862
1,16,pmc_nn,sherlock,0.21258641543483495,TPHATE,-2519.181647560841,6092.363295121682
2,16,pmc_nn,sherlock,0.18092671024328535,TPHATE,-2644.557413923305,6253.114827846612
3,16,pmc_nn,sherlock,0.4580212324369078,TPHATE,-2073.168243011874,5392.336486023748
4,16,pmc_nn,sherlock,0.3361816848592898,TPHATE,-2305.507316685347,5759.014633370693
5,16,pmc_nn,sherlock,0.3325845943364431,TPHATE,-2427.437100516885,6308.874201033771
6,16,pmc_nn,sherlock,0.5516648232687816,TPHATE,-1966.408029639628,5080.816059279256
7,16,pmc_nn,sherlock,0.3672777387414856,TPHATE,-2271.996304091892,5891.992608183784
8,16,pmc_nn,sherlock,0.2704449545507433,TPHATE,-2526.983930928213,6201.967861856426
9,16,pmc_nn,sherlock,0.3414806527049626,TPHATE,-2500.4357681814067,6454.871536362813
10,16,pmc_nn,sherlock,0.2777137042881821,TPHATE,-2616.710470427973,6381.420940855946
11,16,pmc_nn,sherlock,0.1721624218625749,TPHATE,-2713.045808578001,6672.091617156001
12,16,pmc_nn,sherlock,0.17808829529264875,TPHATE,-2716.568586685423,6679.137173370846
13,16,pmc_nn,sherlock,0.3483620867958113,TPHATE,-2365.8339165238394,5977.66783304768
14,16,pmc_nn,sherlock,0.266690233383906,TPHATE,-2095.169776606883,5338.339553213766
15,16,pmc_nn,sherlock,0.4473507289323169,TPHATE,-2417.7272999696233,5983.454599939247
0,20,early_visual,forrest,0.07520796829240063,ISOMAP,-5361.093571086636,31936.187142173272
1,20,early_visual,forrest,0.07337226236363832,ISOMAP,-5323.369028668816,31044.738057337632
2,20,early_visual,forrest,0.056190686029342816,ISOMAP,-5411.329225298494,30026.658450596988
3,20,early_visual,forrest,0.03870250814577239,ISOMAP,-5438.753233510427,35073.50646702085
4,20,early_visual,forrest,0.07838479988304273,ISOMAP,-5326.45299005406,33120.90598010812
