,test_subject,avg_diff,ROI,embed_method,dataset
397,6,0.06055562323525374,early_visual,UMAP,sherlock
398,6,0.007746956766313692,early_visual,voxel,forrest
399,6,0.0527128837267199,early_visual,voxel,sherlock
400,6,0.004382009004441861,high_Visual,ISOMAP,forrest
401,6,0.014479257831131638,high_Visual,ISOMAP,sherlock
402,6,0.0010571152121924032,high_Visual,LLE,forrest
403,6,0.010866382320391539,high_Visual,LLE,sherlock
404,6,0.008451345628965462,high_Visual,PCA,forrest
405,6,0.007366026586507838,high_Visual,PCA,sherlock
406,6,0.009992107216681976,high_Visual,PHATE,forrest
407,6,0.010421562201827375,high_Visual,PHATE,sherlock
408,6,-0.006477249627574731,high_Visual,PHATE_TIME,forrest
409,6,0.016642263827932817,high_Visual,PHATE_TIME,sherlock
410,6,0.003776229079811982,high_Visual,SMOOTH_PHATE,forrest
411,6,0.008945038852590504,high_Visual,SMOOTH_PHATE,sherlock
412,6,0.006652985774609549,high_Visual,TPHATE,forrest
413,6,0.02887545775776919,high_Visual,TPHATE,sherlock
414,6,0.0013847928470655168,high_Visual,TSNE,forrest
415,6,0.007501336159213718,high_Visual,TSNE,sherlock
416,6,0.0013420537485806874,high_Visual,UMAP,forrest
417,6,0.014627457034253683,high_Visual,UMAP,sherlock
418,6,0.004272655788163571,high_Visual,voxel,forrest
419,6,0.010360347206682987,high_Visual,voxel,sherlock
420,6,0.00022942005061846874,pmc_nn,ISOMAP,forrest
421,6,0.014356382397390887,pmc_nn,ISOMAP,sherlock
422,6,0.000395769819402391,pmc_nn,LLE,forrest
423,6,0.012205108875376494,pmc_nn,LLE,sherlock
424,6,0.0006900600447575102,pmc_nn,PCA,forrest
425,6,0.02107225945068524,pmc_nn,PCA,sherlock
426,6,0.0021804645510221,pmc_nn,PHATE,forrest
427,6,0.020334017478036728,pmc_nn,PHATE,sherlock
428,6,0.012495675721258478,pmc_nn,PHATE_TIME,forrest
429,6,0.0002848834679394285,pmc_nn,PHATE_TIME,sherlock
430,6,0.00034549493435752615,pmc_nn,SMOOTH_PHATE,forrest
431,6,0.005721348236402768,pmc_nn,SMOOTH_PHATE,sherlock
432,6,0.0029510284552822785,pmc_nn,TPHATE,forrest
433,6,0.07288240824789434,pmc_nn,TPHATE,sherlock
434,6,-0.0005828383292294508,pmc_nn,TSNE,forrest
435,6,0.02051166085819158,pmc_nn,TSNE,sherlock
436,6,0.002264029357261761,pmc_nn,UMAP,forrest
437,6,0.008259085305263389,pmc_nn,UMAP,sherlock
438,6,0.0014700234884705322,pmc_nn,voxel,forrest
439,6,0.018063569260522765,pmc_nn,voxel,sherlock
440,7,0.04093129583558541,aud_early,ISOMAP,sherlock
441,7,-0.00438179230479386,aud_early,LLE,sherlock
442,7,0.02265063211209998,aud_early,PCA,sherlock
443,7,0.03545717116706956,aud_early,PHATE,sherlock
444,7,-0.008875169902755282,aud_early,PHATE_TIME,sherlock
445,7,0.014181412337389374,aud_early,SMOOTH_PHATE,sherlock
446,7,0.014159242398280298,aud_early,TPHATE,sherlock
447,7,0.005730865339447486,aud_early,TSNE,sherlock
448,7,0.0054779346332086715,aud_early,UMAP,sherlock
449,7,0.017336300209647257,aud_early,voxel,sherlock
450,7,0.06328987525953148,early_visual,ISOMAP,sherlock
451,7,0.051810369257541566,early_visual,LLE,sherlock
452,7,0.045960081638031655,early_visual,PCA,sherlock
453,7,0.06226798857225626,early_visual,PHATE,sherlock
454,7,-0.02825418783613384,early_visual,PHATE_TIME,sherlock
455,7,0.03950880985491959,early_visual,SMOOTH_PHATE,sherlock
456,7,0.05344121108112059,early_visual,TPHATE,sherlock
457,7,0.04227475156018248,early_visual,TSNE,sherlock
458,7,0.0478381517088288,early_visual,UMAP,sherlock
459,7,0.0480469801241933,early_visual,voxel,sherlock
460,7,0.02284970186682397,high_Visual,ISOMAP,sherlock
461,7,-0.006831704871532777,high_Visual,LLE,sherlock
462,7,0.011895066321881026,high_Visual,PCA,sherlock
463,7,0.02168447098442149,high_Visual,PHATE,sherlock
464,7,-0.009379516916370123,high_Visual,PHATE_TIME,sherlock
465,7,0.007373008246309389,high_Visual,SMOOTH_PHATE,sherlock
466,7,0.007952816632001586,high_Visual,TPHATE,sherlock
